"","Ab_5_Eye","Ab_6_Eye","Mz_1_Eye","Mz_2_Eye","Nb_4_Eye","Nb_5_Eye","On_1_Eye","On_2_Eye","On_3_Eye","Pn_2_Eye","Pn_3_Eye","Pn_4_Eye"
"srebf1",2,50,7,5,0,0,20,8,51,18,15,4
"srebf2",1,38,6,2,0,0,16,2,26,4,0,3
"srek1",1,7,1,0,0,0,0,2,17,23,40,86
"srgap2",0,0,13,0,0,0,3,0,16,4,1,2
"srgap3",0,0,0,1,0,0,1,6,26,0,3,5
"srm",0,0,1,2,29,50,2,1,11,2,1,0
"srp14",64,74,11,14,0,0,43,6,15,99,52,73
"srp54",0,0,4,2,0,0,212,144,319,5,6,3
"srp68",1,44,0,2,0,0,2,1,9,2,0,2
"srp72",3,30,5,13,0,0,5,4,54,8,2,8
"srpk1a",1,15,6,19,1,31,18,1,28,12,11,14
"srpk1b",1,29,3,1,0,0,3,2,14,3,2,3
"srpk3",1,26,2,3,0,0,2,9,7,0,0,0
"srpra",2,32,154,796,1463,1469,7,2,44,2151,1387,1193
"srprb",79,86,2,3,0,0,3,5,34,296,328,320
"srpx",0,0,5,0,0,0,72,80,140,0,0,4
"srpx2",0,0,1383,114,0,0,1,6,54,162,183,280
"srrt",2,15,2,12,0,0,10,3,36,5,5,3
"srsf10b",1,9,5,0,0,0,0,0,0,0,0,1
"srsf3a",0,0,5,2,0,0,1,0,16,1,1,3
"srsf4",3,6,21,2,0,0,21,6,163,19,10,22
"srsf5a",0,0,4,3,3,23,3,0,17,9,7,6
"srsf5b",1,7,0,3,0,0,3,0,17,4,0,3
"srsf7a",3,29,5,5,0,0,5,0,118,4,1,5
"srsf9",141,182,6,0,0,0,0,3,34,3,4,0
"ss18",0,0,7,2,0,0,3,2,26,4,0,8
"ss18l2",784,798,0,4,0,0,2,0,8,0,0,0
"ssb",154,200,299,218,37,75,6,1,30,274,465,480
"ssbp1",0,0,5,3,0,0,1,0,17,2,1,2
"ssbp3b",6,33,18,10,0,0,8,5,82,11,11,26
"ssbp4",1,37,2,7,0,0,4,2,4,1,2,8
"ssh1a",18,62,7,11,0,0,6,7,11,0,1,4
"ssh1b",0,0,0,0,0,0,4,5,7,0,0,1
"ssh2b",0,0,3,7,0,0,0,2,11,1,0,2
"ssna1",71,77,30,86,25,38,4,0,8,55,38,76
"sspn",2,20,0,1,0,0,3,0,21,3,2,3
"ssr1",0,0,10,4,0,0,2,2,58,4,6,7
"ssr2",1,36,82,6,0,0,23,18,224,25,78,70
"ssr3",0,0,94,756,13,21,4,2,70,15,12,7
"ssr4",40,62,6,6,0,0,1,2,66,2,6,8
"ssrp1a",0,0,9,6,0,0,15,3,136,13,6,18
"ssu72",2,5,3,5,0,0,2,2,34,4,10,13
"ssuh2rs1",0,0,7,2,0,0,0,0,38,1,3,4
"ssx2ipa",2,40,3,0,0,0,0,2,54,2,0,1
"ssx2ipb",0,0,6,21,0,0,18,3,9,16,6,6
"st3gal3b",0,0,7,6,0,0,1,2,11,5,4,5
"st3gal4",0,0,7,1,1,19,1,4,24,2,2,0
"st3gal5",0,0,4,2,0,0,1,11,19,2,0,3
"st6gal2a",2,6,265,53,0,0,0,1,7,0,5,2
"st6galnac4",0,0,2,2,0,0,1,0,20,6,2,4
"st6galnac5a",2,33,5,6,0,0,2,0,2,5,4,1
"st6galnac6",0,0,1,0,0,0,7,4,5,0,0,0
"st7",102,129,104,38,0,0,0,2,5,1,13,18
"st7l",3,18,1,1,0,0,2,0,6,1,0,12
"st8sia1",1,39,1,0,34,77,2,0,13,0,0,0
"st8sia3",6,15,0,0,0,0,1,0,0,1,0,0
"st8sia5",0,0,1,5,0,0,3,0,8,2,2,2
"st8sia6",0,0,5,0,0,0,2,0,9,0,2,2
"stag1a",2,39,2,2,0,0,0,4,13,4,1,1
"stag2a",1,42,3,4,0,0,5,1,23,6,2,6
"stag2b",1,7,25,9,0,0,19,9,48,11,4,6
"stam2",0,0,5,3,1,24,2,3,18,5,1,5
"stap2b",0,0,175,1007,0,0,3,4,0,0,0,0
"star",0,0,6,8,0,0,0,0,0,0,0,1
"stard14",0,0,708,1010,0,0,0,3,7,0,0,0
"stard15",4,22,0,2,0,0,2,0,3,7,7,3
"stard3",1,35,4,0,0,0,1,1,11,1,0,1
"stard7",0,0,10,1,0,0,3,0,5,5,4,4
"stat1a",2,45,7,4,30,38,12,3,62,5,7,6
"stat2",0,0,22,16,0,0,8,9,123,14,5,18
"stat3",0,0,7,7,0,0,11,4,106,1,7,8
"stat4",1,25,2,0,0,0,1,0,16,1,12,10
"stat5a",1,28,0,3,0,0,0,0,15,3,1,2
"stat6",5,17,4,1,0,0,0,1,24,24,11,16
"stau1",0,0,52,71,33,58,24,19,142,49,39,44
"stau2",1,41,14,10,0,0,10,3,75,3,5,3
