"","Ab_5_Eye","Ab_6_Eye","Mz_1_Eye","Mz_2_Eye","Nb_4_Eye","Nb_5_Eye","On_1_Eye","On_2_Eye","On_3_Eye","Pn_2_Eye","Pn_3_Eye","Pn_4_Eye"
"sccpdha.1",409.852381826568,119.754622813603,7.18653873370646,7.87028535735958,0,0,13.7330164891538,4.15901538030019,30.5612379461106,5.88944896613527,13.0064075694262,19.9982352814201
"scfd1",0,0,10.7798081005597,7.15480487032689,0,0,17.6567354860549,8.31803076060038,88.3618401485371,4.2067492615252,6.50320378471308,16.520281319434
"scfd2",7.73306380804846,10.5977542312923,0.898317341713307,2.14644146109807,0,0,5.88557849535163,0,10.6299958073428,0.841349852305039,6.50320378471308,4.34744245248264
"scg2b",1.93326595201211,24.9047224435369,0.898317341713307,4.29288292219613,0,0,25.5041734798571,0,0.664374737958925,5.04809911383024,3.25160189235654,6.95590792397222
"scg3",13.5328616640848,20.1357330394554,281.173327956265,457.192031213888,0,0,237.384999312516,37.4311384227017,29.2324884701927,43.750192319862,37.9353554108263,15.6507928289375
"scg5",3.86653190402423,5.82876482721078,1.79663468342661,6.4393243832942,0,0,29.4278924767581,12.4770461409006,2.6574989518357,0.841349852305039,4.33546918980872,0.869488490496527
"schip1",0,0,1.79663468342661,5.72384389626151,0,0,9.80929749225271,16.6360615212008,22.5887410906035,4.2067492615252,3.25160189235654,5.21693094297916
"scinla",1.93326595201211,6.35865253877539,74.5603393622045,198.903575395088,0,0,3.92371899690109,20.795076901501,22.5887410906035,2.52404955691512,7.58707108216526,10.4338618859583
"scinlb",3.86653190402423,14.3069682122446,15.2713948091262,0.715480487032689,0,0,5.88557849535163,41.5901538030019,134.203697067703,8.41349852305039,6.50320378471308,16.520281319434
"sclt1",67.664308320424,28.0840487129246,2.69495202513992,0,0,0,0,4.15901538030019,1.99312421387678,6.73079881844031,2.16773459490436,2.60846547148958
"scml2",11.5995957120727,14.3069682122446,1.79663468342661,0.715480487032689,0,0,1.96185949845054,0,3.98624842775355,0,0,0
"scn1ba",19.3326595201211,14.8368559238092,0,2.14644146109807,0,0,3.92371899690109,0,0,0,2.16773459490436,0
"scn2b",23.1991914241454,15.3667436353739,0,0,0,0,0,8.31803076060038,0,4.2067492615252,8.67093837961744,0.869488490496527
"scn8ab",3.86653190402423,15.8966313469385,0,2.14644146109807,0,0,9.80929749225271,0,0,0.841349852305039,1.08386729745218,1.73897698099305
"sco1",0,0,1.79663468342661,3.57740243516345,0,0,3.92371899690109,4.15901538030019,5.3149979036714,1.68269970461008,1.08386729745218,3.47795396198611
"scoca",3.86653190402423,22.7851715972785,3.59326936685323,2.14644146109807,0,0,7.84743799380217,4.15901538030019,4.65062316571248,6.73079881844031,5.4193364872609,19.1287467909236
