gene_name.x,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,sig,species,gene_match,gene_name.y,visual_category,significant,direction,gene_name,dataset_gene_name,WGCNA_module,module_trait_correlation,module_trait_FDR,module_expression_pattern,species_associated_module,evidence_class,MM,MM_pvalue,GS,GS_pvalue,supported_hub,passes_MM,passes_aligned_GS,passes_GS_pvalue,passes_all_support_criteria,exploratory_joint_score,supported_hub_rank
guca1b,91.2242424948658,-1.31324947744244,1.01426921951196,0.172393319122512,0.23686264699754,Ab_vs_rest,Not significant,Ab,guca1b,guca1b,Photoreceptor recovery,FALSE,Not significant,guca1b,guca1b,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant integrated evidence,0.849853563651548,4.644427417359227e-4,-0.4901778491502378,0.10570430255604547,FALSE,NA,NA,NA,NA,NA,NA
rx2,3.75072025411809,-1.93658382980414,1.88955475044693,0.206630012775427,0.270157994794116,Ab_vs_rest,Not significant,Ab,rx2,rx2,Retinal regulation,FALSE,Not significant,rx2,rx2,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant integrated evidence,0.5165674487988343,0.08551774031198775,-0.352873917640975,0.2605541862748867,FALSE,NA,NA,NA,NA,NA,NA
cnga3a,16.6158102651795,1.14458630233108,1.02167647862318,0.237359185088162,0.300750444109802,Ab_vs_rest,Not significant,Ab,cnga3a,cnga3a,CNG channel,FALSE,Not significant,cnga3a,cnga3a,black,-0.31362423984658255,0.49202729034295944,Ab lower,FALSE,No significant integrated evidence,0.6073510702179594,0.03621064630874683,0.13207141054324398,0.6824218543190137,FALSE,NA,NA,NA,NA,NA,NA
arr3a,265.827696270724,-1.17723622818783,1.07466397531335,0.245095463217269,0.308009731728159,Ab_vs_rest,Not significant,Ab,arr3a,arr3a,Photoreceptor recovery,FALSE,Not significant,arr3a,arr3a,blue,-0.5395004507837308,0.2554416259529368,Ab lower,FALSE,No significant integrated evidence,0.7730223824996949,0.00319448275565189,-0.3525765699638039,0.26098427513122763,FALSE,NA,NA,NA,NA,NA,NA
abca4b,21.5803179388603,1.19049121864494,1.11531422862993,0.255078930889231,0.317307851675146,Ab_vs_rest,Not significant,Ab,abca4b,abca4b,Visual cycle,FALSE,Not significant,abca4b,abca4b,turquoise,0.36933643495090507,0.4319944103845951,Ab higher,FALSE,No significant integrated evidence,0.5546613325602683,0.06125076895870668,-0.07223146995048317,0.8234736447605462,FALSE,NA,NA,NA,NA,NA,NA
cngb1b,11.1476521119874,1.17261919002798,1.24470754965645,0.306934740105563,0.369600003929741,Ab_vs_rest,Not significant,Ab,cngb1b,cngb1b,CNG channel,FALSE,Not significant,cngb1b,cngb1b,turquoise,0.36933643495090507,0.4319944103845951,Ab higher,FALSE,No significant integrated evidence,0.811099241795091,0.00136633239027895,0.06627292780382966,0.8378577969105698,FALSE,NA,NA,NA,NA,NA,NA
pde6ga,44.2251257177041,1.17719358543997,1.32336265185957,0.329121423370607,0.391414151787995,Ab_vs_rest,Not significant,Ab,pde6ga,pde6ga,Phototransduction,FALSE,Not significant,pde6ga,pde6ga,turquoise,0.36933643495090507,0.4319944103845951,Ab higher,FALSE,No significant integrated evidence,0.7864175227147054,0.00241482315585698,0.04737907999404728,0.8837513199557336,FALSE,NA,NA,NA,NA,NA,NA
nrl,6.12008102398229,1.02423363829065,1.20004448074146,0.357608701021387,0.419048081373079,Ab_vs_rest,Not significant,Ab,nrl,nrl,Photoreceptor regulation,FALSE,Not significant,nrl,nrl,royalblue,-0.1769120618852707,0.7058114907553008,Ab lower,FALSE,No significant integrated evidence,0.8951299311329461,8.356969773234847e-5,0.13810874145858296,0.6686197400862208,FALSE,NA,NA,NA,NA,NA,NA
rpe65b,43.1908612564652,-0.65266371146477,0.753323577452386,0.372800563767792,0.433665961933962,Ab_vs_rest,Not significant,Ab,rpe65b,rpe65b,Visual cycle,FALSE,Not significant,rpe65b,rpe65b,black,-0.31362423984658255,0.49202729034295944,Ab lower,FALSE,No significant integrated evidence,0.6724854270045043,0.01657371743113325,-0.12920628534476974,0.6890035778769696,FALSE,NA,NA,NA,NA,NA,NA
six6a,10.4056654647985,0.820404180762985,1.13885681381064,0.441121647927069,0.498463714310112,Ab_vs_rest,Not significant,Ab,six6a,six6a,Retinal regulation,FALSE,Not significant,six6a,six6a,royalblue,-0.1769120618852707,0.7058114907553008,Ab lower,FALSE,No significant integrated evidence,0.8346634676877298,7.319975982543207e-4,-0.0661012816721715,0.8382728539367599,FALSE,NA,NA,NA,NA,NA,NA
