Gene	Ab_5_Eye	Ab_6_Eye
ENSHBUG00000000415	0	0
ENSHBUG00000000416	2	23
ENSHBUG00000000417	20	36
ENSHBUG00000000418	0	0
ENSHBUG00000000419	15	58
ENSHBUG00000000420	6	43
ENSHBUG00000000421	0	0
ENSHBUG00000000422	2	23
ENSHBUG00000000423	0	0
ENSHBUG00000000424	3	38
ENSHBUG00000000425	1	29
ENSHBUG00000000426	4	6
ENSHBUG00000000427	1	9
ENSHBUG00000000428	0	0
ENSHBUG00000000429	0	0
ENSHBUG00000000430	0	0
ENSHBUG00000000431	11	17
ENSHBUG00000000432	0	0
ENSHBUG00000000433	1	2
ENSHBUG00000000434	0	0
ENSHBUG00000000435	0	0
ENSHBUG00000000436	0	0
ENSHBUG00000000437	0	0
ENSHBUG00000000438	53	70
ENSHBUG00000000439	0	0
ENSHBUG00000000440	0	0
ENSHBUG00000000441	0	0
ENSHBUG00000000442	0	0
ENSHBUG00000000443	0	0
ENSHBUG00000000444	0	0
ENSHBUG00000000445	2	43
ENSHBUG00000000446	0	0
ENSHBUG00000000447	1156	1164
ENSHBUG00000000448	101	132
ENSHBUG00000000449	1	8
ENSHBUG00000000450	747	792
ENSHBUG00000000451	1	25
ENSHBUG00000000452	19	53
ENSHBUG00000000453	15	18
ENSHBUG00000000454	19	63
ENSHBUG00000000455	0	0
ENSHBUG00000000456	0	0
ENSHBUG00000000457	2	27
ENSHBUG00000000458	87	130
ENSHBUG00000000459	0	0
ENSHBUG00000000460	0	0
ENSHBUG00000000461	458	499
ENSHBUG00000000462	2	33
ENSHBUG00000000463	2	43
ENSHBUG00000000464	0	0
ENSHBUG00000000465	0	0
ENSHBUG00000000466	0	0
ENSHBUG00000000467	7	25
ENSHBUG00000000468	11	41
ENSHBUG00000000469	0	0
ENSHBUG00000000470	1	26
ENSHBUG00000000471	36	45
ENSHBUG00000000472	0	0
ENSHBUG00000000473	0	0
ENSHBUG00000000474	0	0
ENSHBUG00000000475	1	3
ENSHBUG00000000476	3	31
ENSHBUG00000000477	0	0
ENSHBUG00000000478	0	0
ENSHBUG00000000479	4	15
ENSHBUG00000000480	0	0
ENSHBUG00000000481	0	0
ENSHBUG00000000482	1	31
ENSHBUG00000000483	1	10
ENSHBUG00000000484	1	12
ENSHBUG00000000485	2	34
ENSHBUG00000000486	0	0
ENSHBUG00000000487	10	25
ENSHBUG00000000488	0	0
ENSHBUG00000000489	2	36
ENSHBUG00000000490	0	0
ENSHBUG00000000491	1	29
ENSHBUG00000000492	7	51
ENSHBUG00000000493	0	0
ENSHBUG00000000494	0	0
ENSHBUG00000000495	0	0
ENSHBUG00000000496	0	0
ENSHBUG00000000497	34	68
ENSHBUG00000000498	1	34
ENSHBUG00000000499	0	0
ENSHBUG00000000500	185	186
ENSHBUG00000000501	1	46
ENSHBUG00000000502	0	0
ENSHBUG00000000503	0	0
ENSHBUG00000000504	0	0
ENSHBUG00000000505	0	0
ENSHBUG00000000506	0	0
ENSHBUG00000000507	12	41
ENSHBUG00000000508	2	46
ENSHBUG00000000509	164	173
ENSHBUG00000000510	0	0
ENSHBUG00000000511	0	0
ENSHBUG00000000512	247	269
ENSHBUG00000000513	1	35
ENSHBUG00000000514	0	0
ENSHBUG00000000515	0	0
ENSHBUG00000000516	0	0
ENSHBUG00000000517	0	0
ENSHBUG00000000518	32	43
ENSHBUG00000000519	49	60
ENSHBUG00000000520	131	162
ENSHBUG00000000521	0	0
ENSHBUG00000000522	1	41
ENSHBUG00000000523	0	0
ENSHBUG00000000524	1	14
ENSHBUG00000000525	9	25
ENSHBUG00000000526	0	0
ENSHBUG00000000527	24	42
ENSHBUG00000000528	0	0
ENSHBUG00000000529	1	8
ENSHBUG00000000530	11	19
ENSHBUG00000000531	4	18
ENSHBUG00000000532	0	0
ENSHBUG00000000533	5	12
ENSHBUG00000000534	4	21
ENSHBUG00000000535	0	0
ENSHBUG00000000536	0	0
ENSHBUG00000000537	2	18
ENSHBUG00000000538	86	100
ENSHBUG00000000539	0	0
ENSHBUG00000000540	0	0
ENSHBUG00000000541	1	36
ENSHBUG00000000542	1	47
ENSHBUG00000000543	0	0
ENSHBUG00000000544	0	0
ENSHBUG00000000545	0	0
ENSHBUG00000000546	0	0
