Gene	Mz_1_Eye	Mz_2_Eye
ENSMZEG00005000573	0	0
ENSMZEG00005000574	0	0
ENSMZEG00005000575	0	0
ENSMZEG00005000576	2	2
ENSMZEG00005000577	0	0
ENSMZEG00005000578	0	2
ENSMZEG00005000579	0	0
ENSMZEG00005000580	0	0
ENSMZEG00005000581	2	0
ENSMZEG00005000582	0	0
ENSMZEG00005000583	17	2
ENSMZEG00005000584	0	0
ENSMZEG00005000585	8	2
ENSMZEG00005000586	0	2
ENSMZEG00005000587	0	0
ENSMZEG00005000588	5	4
ENSMZEG00005000589	0	0
ENSMZEG00005000590	0	0
ENSMZEG00005000591	0	0
ENSMZEG00005000592	0	0
ENSMZEG00005000593	31	18
ENSMZEG00005000594	0	1
ENSMZEG00005000595	2	0
ENSMZEG00005000596	0	0
ENSMZEG00005000597	0	0
ENSMZEG00005000598	0	0
ENSMZEG00005000599	1	0
ENSMZEG00005000600	4	22
ENSMZEG00005000601	0	1
ENSMZEG00005000602	2	1
ENSMZEG00005000603	1	0
ENSMZEG00005000604	0	1
ENSMZEG00005000605	6	2
ENSMZEG00005000606	1	2
ENSMZEG00005000607	0	1
ENSMZEG00005000608	0	0
ENSMZEG00005000609	0	0
ENSMZEG00005000610	0	0
ENSMZEG00005000611	7	2
ENSMZEG00005000612	0	0
ENSMZEG00005000613	2	0
ENSMZEG00005000614	0	1
ENSMZEG00005000615	0	1
ENSMZEG00005000616	0	0
ENSMZEG00005000617	300	129
ENSMZEG00005000618	0	0
ENSMZEG00005000619	1	0
ENSMZEG00005000620	28	319
ENSMZEG00005000621	3	1
ENSMZEG00005000622	0	0
ENSMZEG00005000623	1	3
ENSMZEG00005000624	0	1
ENSMZEG00005000625	0	0
ENSMZEG00005000626	0	0
ENSMZEG00005000627	44	15
ENSMZEG00005000628	0	0
ENSMZEG00005000629	1	1
ENSMZEG00005000630	4	0
ENSMZEG00005000631	1	2
ENSMZEG00005000632	7	7
ENSMZEG00005000633	0	0
ENSMZEG00005000634	25	107
ENSMZEG00005000635	799	1262
ENSMZEG00005000636	0	0
ENSMZEG00005000637	4	6
ENSMZEG00005000638	972	365
ENSMZEG00005000639	0	0
ENSMZEG00005000640	0	0
ENSMZEG00005000641	0	0
ENSMZEG00005000642	0	0
ENSMZEG00005000643	352	586
ENSMZEG00005000644	0	0
ENSMZEG00005000645	196	656
ENSMZEG00005000646	0	0
ENSMZEG00005000647	0	0
ENSMZEG00005000648	0	1
ENSMZEG00005000649	0	6
ENSMZEG00005000650	0	0
ENSMZEG00005000651	5	0
ENSMZEG00005000652	0	7
ENSMZEG00005000653	8	14
ENSMZEG00005000654	18	1
ENSMZEG00005000655	0	1
ENSMZEG00005000656	3	1
ENSMZEG00005000657	2	1
ENSMZEG00005000658	0	0
ENSMZEG00005000659	0	0
ENSMZEG00005000660	0	1
ENSMZEG00005000661	75	94
ENSMZEG00005000662	3	7
ENSMZEG00005000663	7	4
ENSMZEG00005000664	0	0
ENSMZEG00005000665	2	2
ENSMZEG00005000666	0	4
ENSMZEG00005000667	58	70
ENSMZEG00005000668	69	92
ENSMZEG00005000669	0	0
ENSMZEG00005000670	6	12
ENSMZEG00005000671	1	1
ENSMZEG00005000672	3	2
ENSMZEG00005000673	0	0
ENSMZEG00005000674	11	94
ENSMZEG00005000675	0	0
ENSMZEG00005000676	5	2
ENSMZEG00005000677	3	1
ENSMZEG00005000678	0	5
ENSMZEG00005000679	21	29
ENSMZEG00005000680	0	0
ENSMZEG00005000681	1	0
ENSMZEG00005000682	6	1
ENSMZEG00005000683	0	0
ENSMZEG00005000684	0	0
ENSMZEG00005000685	3	0
ENSMZEG00005000686	0	0
ENSMZEG00005000687	1	2
ENSMZEG00005000688	778	852
ENSMZEG00005000689	1	2
ENSMZEG00005000690	582	829
ENSMZEG00005000691	0	0
ENSMZEG00005000692	0	0
ENSMZEG00005000693	0	0
ENSMZEG00005000694	0	1
ENSMZEG00005000695	88	24
ENSMZEG00005000696	1	0
ENSMZEG00005000697	0	0
ENSMZEG00005000698	34	3
ENSMZEG00005000699	1	0
ENSMZEG00005000700	0	0
ENSMZEG00005000701	0	0
ENSMZEG00005000702	3	0
ENSMZEG00005000703	0	0
ENSMZEG00005000704	4	34
ENSMZEG00005000705	0	0
ENSMZEG00005000706	0	0
ENSMZEG00005000707	0	0
ENSMZEG00005000708	0	0
ENSMZEG00005000709	0	0
ENSMZEG00005000710	1	0
ENSMZEG00005000711	7	10
ENSMZEG00005000712	0	0
ENSMZEG00005000713	0	5
ENSMZEG00005000714	0	0
ENSMZEG00005000715	5	4
ENSMZEG00005000716	8	2
ENSMZEG00005000717	0	0
ENSMZEG00005000718	2	11
ENSMZEG00005000719	1	3
ENSMZEG00005000720	0	0
ENSMZEG00005000721	11	4
ENSMZEG00005000722	3	2
ENSMZEG00005000723	1	0
ENSMZEG00005000724	1	0
ENSMZEG00005000725	0	0
ENSMZEG00005000726	0	0
ENSMZEG00005000727	11	0
ENSMZEG00005000728	1	0
ENSMZEG00005000729	2182	1885
ENSMZEG00005000730	1	1
ENSMZEG00005000731	0	0
ENSMZEG00005000732	0	0
ENSMZEG00005000733	5	4
ENSMZEG00005000734	0	0
ENSMZEG00005000735	0	0
ENSMZEG00005000736	11	13
ENSMZEG00005000737	0	0
ENSMZEG00005000738	942	127
ENSMZEG00005000739	0	0
ENSMZEG00005000740	0	3
ENSMZEG00005000741	5	11
ENSMZEG00005000742	1	0
ENSMZEG00005000743	31	19
ENSMZEG00005000744	11	0
ENSMZEG00005000745	0	0
ENSMZEG00005000746	45	28
ENSMZEG00005000747	0	0
ENSMZEG00005000748	5	3
ENSMZEG00005000749	7	3
ENSMZEG00005000750	0	0
ENSMZEG00005000751	2	15
ENSMZEG00005000752	0	0
ENSMZEG00005000753	0	3
ENSMZEG00005000754	4	1
ENSMZEG00005000755	0	0
ENSMZEG00005000756	2	0
ENSMZEG00005000757	8	1
ENSMZEG00005000758	0	1
ENSMZEG00005000759	1	0
ENSMZEG00005000760	0	0
ENSMZEG00005000761	0	0
ENSMZEG00005000762	1	1
ENSMZEG00005000763	3	11
ENSMZEG00005000764	4	5
ENSMZEG00005000765	0	0
ENSMZEG00005000766	13	13
ENSMZEG00005000767	2	0
ENSMZEG00005000768	0	0
ENSMZEG00005000769	4	0
ENSMZEG00005000770	0	0
ENSMZEG00005000771	0	0
ENSMZEG00005000772	1	2
ENSMZEG00005000773	1	5
ENSMZEG00005000774	0	0
ENSMZEG00005000775	8	4
ENSMZEG00005000776	870	76
ENSMZEG00005000777	0	0
ENSMZEG00005000778	0	0
ENSMZEG00005000779	773	750
ENSMZEG00005000780	1	17
ENSMZEG00005000781	0	0
ENSMZEG00005000782	0	0
ENSMZEG00005000783	46	27
ENSMZEG00005000784	7	0
ENSMZEG00005000785	0	0
ENSMZEG00005000786	0	0
