Gene	On_1_Eye	On_2_Eye	On_3_Eye
ENSONIG00000000617	5	1	65
ENSONIG00000000619	5	0	7
ENSONIG00000000620	0	4	11
ENSONIG00000000621	0	0	0
ENSONIG00000000623	0	0	0
ENSONIG00000000624	0	0	1
ENSONIG00000000625	63	0	7
ENSONIG00000000626	0	0	10
ENSONIG00000000627	2	1	4
ENSONIG00000000629	16	28	1899
ENSONIG00000000630	4	1	1
ENSONIG00000000631	3	2	12
ENSONIG00000000632	1	0	0
ENSONIG00000000633	14	0	6
ENSONIG00000000634	0	0	0
ENSONIG00000000635	0	0	0
ENSONIG00000000636	9	7	2
ENSONIG00000000637	2	0	2
ENSONIG00000000640	103	165	141
ENSONIG00000000641	0	0	16
ENSONIG00000000642	5	1	22
ENSONIG00000000643	29	4	12
ENSONIG00000000644	0	3	1
ENSONIG00000000645	1	0	1
ENSONIG00000000646	5	0	0
ENSONIG00000000648	14	5	11
ENSONIG00000000652	1	0	16
ENSONIG00000000653	0	0	0
ENSONIG00000000654	0	3	11
ENSONIG00000000655	16	0	5
ENSONIG00000000658	0	0	0
ENSONIG00000000660	0	0	0
ENSONIG00000000663	12	1	59
ENSONIG00000000666	2	1	17
ENSONIG00000000667	5	0	2
ENSONIG00000000669	1	0	0
ENSONIG00000000671	1	1	1
ENSONIG00000000672	3	2	13
ENSONIG00000000674	0	0	0
ENSONIG00000000675	8	0	0
ENSONIG00000000676	48	5	1
ENSONIG00000000677	0	4	36
ENSONIG00000000682	37	10	288
ENSONIG00000000683	0	0	9
ENSONIG00000000684	2	0	9
ENSONIG00000000686	23	1	3
ENSONIG00000000687	1	1	0
ENSONIG00000000689	6	0	0
ENSONIG00000000690	10	485	531
ENSONIG00000000692	12	2	64
ENSONIG00000000693	6	1	20
ENSONIG00000000694	0	0	42
ENSONIG00000000695	416	259	182
ENSONIG00000000696	14	1	98
ENSONIG00000000697	6	1	48
ENSONIG00000000699	25	4	104
ENSONIG00000000700	0	1	45
ENSONIG00000000701	2	1	16
ENSONIG00000000702	0	0	6
ENSONIG00000000703	25	5	5
ENSONIG00000000704	9	11	17
